thickness,Umach,AOA,RE,Cl,Cdt,Cdp,Cdf,Cm
09,0.05,0.0,0.1E+06,-7.532606307583331E-009,1.436976118491194E-002,2.741635834262382E-003,1.162812535064955E-002,4.000889203270575E-010
09,0.05,1.0,0.1E+06,0.105064352916515,1.445900100955277E-002,2.893838257524768E-003,1.156516275202800E-002,-8.197109868716811E-004
09,0.05,2.0,0.1E+06,0.209755558383672,1.474676564360746E-002,3.367578223233135E-003,1.137918742037433E-002,-1.656336128307220E-003
09,0.05,3.0,0.1E+06,0.313682921016782,1.525292733273527E-002,4.184223011364273E-003,1.106870432137099E-002,-2.561120216699925E-003
09,0.05,4.0,0.1E+06,0.416310943918380,1.601997715824439E-002,5.391266104948941E-003,1.062871105329545E-002,-3.573919485535580E-003
09,0.05,5.0,0.1E+06,0.516875364041782,1.712833531597606E-002,7.078145885140955E-003,1.005018943083510E-002,-4.748701111106530E-003
09,0.05,5.5,0.1E+06,0.566022698871912,1.785182137466913E-002,8.149742060760738E-003,9.702079313908402E-003,-5.421243681734356E-003
09,0.05,6.0,0.1E+06,0.614115792205127,1.872530081678173E-002,9.415072867969991E-003,9.310227948811738E-003,-6.168940997827615E-003
09,0.05,6.5,0.1E+06,0.660797348978306,1.979493287506155E-002,1.092709581242626E-002,8.867837062635296E-003,-7.012307474382887E-003
09,0.05,7.0,0.1E+06,0.705507817144526,2.113642301744781E-002,1.277195088827646E-002,8.364472129171361E-003,-7.977026535088378E-003
09,0.05,7.5,0.1E+06,0.747412977796816,2.286560607249910E-002,1.508330709157732E-002,7.782298980921785E-003,-9.103499410603970E-003
09,0.05,8.5,0.1E+06,0.812396993245408,2.900690477631289E-002,2.282886936943569E-002,6.178035406877200E-003,-1.215490302095540E-002
09,0.05,9.0,0.1E+06,0.772879324357025,4.570059875005163E-002,4.172243504430334E-002,3.978163705748276E-003,-1.370161431263738E-002
09,0.05,9.5,0.1E+06,0.575540681068817,8.873096649454733E-002,8.463169212841955E-002,4.099274366127769E-003,2.828068129332723E-002
09,0.05,10.0,0.1E+06,0.880360725602060,7.655707528536708E-002,7.173994605065115E-002,4.817129234715955E-003,-3.702866294338079E-003
09,0.10,0.0,0.1E+06,1.217239798106257E-009,1.437572803430179E-002,2.756604173994761E-003,1.161912386030703E-002,1.138508799389260E-009
09,0.10,1.0,0.1E+06,0.105433112912825,1.446572981133578E-002,2.910004169613923E-003,1.155572564172186E-002,-8.289789076530536E-004
09,0.10,2.0,0.1E+06,0.210496116073783,1.475557887780120E-002,3.387201044324671E-003,1.136837783347653E-002,-1.677345588169809E-003
09,0.10,3.0,0.1E+06,0.314784701468564,1.526568371787936E-002,4.210325158689085E-003,1.105535855919028E-002,-2.597180037324725E-003
09,0.10,4.0,0.1E+06,0.417754420977247,1.603976242454120E-002,5.428550209943282E-003,1.061121221459791E-002,-3.630216285687054E-003
09,0.10,5.0,0.1E+06,0.518620645063057,1.716076952589730E-002,7.134740764285816E-003,1.002602876161148E-002,-4.833375744303278E-003
09,0.10,5.5,0.1E+06,0.567889176738678,1.789462029912930E-002,8.221437257240345E-003,9.673183041888947E-003,-5.524392884367465E-003
09,0.10,6.0,0.1E+06,0.616066227477375,1.878365431101799E-002,9.508454556886224E-003,9.275199754131755E-003,-6.294724173864214E-003
09,0.10,6.5,0.1E+06,0.662767532219054,1.987758423853343E-002,1.105313250944487E-002,8.824451729088566E-003,-7.166426667144114E-003
09,0.10,7.0,0.1E+06,0.707380037465144,2.126003832089622E-002,1.295056843330741E-002,8.309469887588801E-003,-8.168064949076598E-003
