z,name,symbol,group,period,valenceoftheelements,numofvalenceelectrons,thermalconductivity,entalpyofatomization,fusion,vaporization,mass,density,volume,atomic_radii,van_der_waals_radii,covalent_radii,melt,boil,specific_heat,electronegativity,first_ionization_energy,electron_affinity,s_elec,p_elec,d_elec,f_elec
1,Hydrogen,H,1,1,1,1,0.1805,218,0.558,0.452,1.007940054,8.99E-05,9.648750305,25,120,38,14.17500019,20.28000069,14.3039999,2.200000048,13.59840012,0.754,1,0,0,0
2,Helium,He,18,1,0,2,0.1513,0,0.02,0.083,4.002600193,0.0001785,15.52000046,31,140,32,,4.21999979,5.19299984,0,24.58740044,9.7,2,0,0,0
3,Lithium,Li,1,2,1,1,85,159,3,147,6.940999985,0.533999979,18.32999992,145,182,134,453.8500061,1615,3.582000017,0.980000019,5.391719818,0.618,3,0,0,0
4,Beryllium,Be,2,2,2,2,190,324,7.95,297,9.012180328,1.850000024,7.909999847,105,,90,1560.150024,2742,1.825000048,1.570000052,9.322699547,-2.4,4,0,0,0
5,Boron,B,13,2,3,3,27,563,50,507,10.81099987,2.339999914,7.184999943,85,,82,2573.149902,4200,1.026000023,2.039999962,8.2980299,0.279,4,1,0,0
6,Carbon,C,14,2,4,4,140,717,117,715,12.01070023,2.26699996,11.75749969,70,170,77,3948.159912,4300,0.708999991,2.549999952,11.26029968,1.262,4,2,0,0
7,Nitrogen,N,15,2,3,5,0.02583,473,0.36,2.79,14.00669956,0.0012506,17.47249985,65,155,75,63.29000092,77.36000061,1.039999962,3.039999962,14.53409958,0.4,4,3,0,0
8,Oxygen,O,16,2,2,6,0.02658,249,0.222,3.41,15.99940014,0.001429,9.558750153,60,152,73,50.5,90.19999695,0.917999983,3.440000057,13.61810017,1.461,4,4,0,0
9,Fluorine,F,17,2,1,7,0.0277,79,0.26,3.27,18.99839973,0.001696,19.56999969,50,147,71,53.63000107,85.02999878,0.824000001,3.980000019,17.42280006,3.401,4,5,0,0
10,Neon,Ne,18,2,0,8,0.0491,0,0.34,1.75,20.17970085,0.0008999,16.31999969,38,154,69,24.70299912,27.06999969,1.029999971,0,21.56459999,,4,6,0,0
11,Sodium,Na,1,3,1,1,140,107,2.6,97.7,22.9897995,0.971000016,34.11999893,180,227,154,371.1499939,1156,1.228000045,0.930000007,5.139080048,0.547,5,6,0,0
12,Magnesium,Mg,2,3,2,2,160,146,8.7,128,24.30500031,1.738000035,22.89500046,150,173,130,923.1500244,1363,1.023000002,1.309999943,7.646240234,,6,6,0,0
13,Aluminium,Al,13,3,3,3,235,326,10.7,293,26.98150063,2.697999954,16.47999954,125,,118,933.4000244,2792,0.897000015,1.610000014,5.985770226,0.432,6,7,0,0
14,Silicon,Si,14,3,4,4,150,456,50.2,359,28.08550072,2.329600096,20.40999985,110,210,111,1683.150024,3538,0.704999983,1.899999976,8.151689529,1.389,6,8,0,0
15,Phosphorus,P,15,3,5,5,0.236,315,0.64,12.4,30.97380066,1.820000052,23.81290054,100,180,106,317.25,553,0.768999994,2.190000057,10.48670006,0.746,6,9,0,0
16,Sulfur,S,16,3,6,6,0.205,279,1.73,9.8,32.06499863,2.066999912,28.00349998,100,180,102,388.5100098,717.7999878,0.709999979,2.579999924,10.35999966,2.077,6,10,0,0
17,Chlorine,Cl,17,3,5,7,0.0089,122,3.2,10.2,35.45299912,0.003214,27.88999939,100,175,99,172.3099976,239.1100006,0.479000002,3.160000086,12.96759987,3.612,6,11,0,0
18,Argon,Ar,18,3,0,8,0.01772,0,1.18,6.5,39.94800186,0.0017837,33.79999924,71,188,97,83.95999908,87.30000305,0.519999981,0,15.75959969,1.5,6,12,0,0
19,Potassium,K,1,4,1,1,100,89,2.33,76.9,39.09830093,0.861999989,71.31999969,220,275,196,336.5,1032,0.757000029,0.819999993,4.340660095,0.501,7,12,0,0
20,Calcium,Ca,2,4,2,2,200,178,8.54,155,40.07799912,1.539999962,39.75999832,180,,174,1112.150024,1757,0.647000015,1,6.113160133,0.024,8,12,0,0
21,Scandium,Sc,3,4,3,,16,378,16,318,44.95589828,2.989000082,23.74500084,160,,144,1812.150024,3109,0.568000019,1.360000014,6.561500072,0.188,8,12,1,0
22,Titanium,Ti,4,4,4,,22,471,18.7,425,47.86700058,4.539999962,16.75670052,140,,136,1933.150024,3560,0.523000002,1.539999962,6.828100204,0.084,8,12,2,0
23,Vanadium,V,5,4,5,,31,515,22.8,453,50.94150162,6.110000134,13.13000011,135,,125,2175.149902,3680,0.488999993,1.629999995,6.746200085,0.527,8,12,3,0
